Party_birth,CountryCode,COP1,COP2,COP3,COP4,COP5,COP6,COP7,COP8,COP9,COP10,COP11,COP12,COP13,COP14
1995-10-08Ê,GTM,NA,0,5,1,0,2,0,2,13,9,5,3,17,3
1993-12-29Ê,GIN,2,1,2,2,2,4,1,2,9,3,2,1,1,2
1996-01-25Ê,GNB,NA,1,1,0,0,1,1,3,3,9,2,5,4,4
1994-11-27Ê,GUY,1,1,1,1,2,1,1,1,1,1,2,2,0,5
1996-12-24Ê,HTI,NA,NA,2,1,2,1,1,0,2,4,2,1,5,2
1995-10-29Ê,HND,NA,0,2,0,1,2,0,0,5,3,1,3,6,9
1994-05-25Ê,HUN,2,2,5,5,4,4,5,1,1,6,4,4,3,2
1994-12-11Ê,ISL,1,1,2,3,1,3,2,4,5,3,3,2,2,2
1994-05-19Ê,IND,9,9,9,6,9,5,8,12,9,18,273,3,9,5
1994-11-21Ê,IDN,7,20,15,14,12,12,33,23,29,74,26,38,24,32
1996-11-04Ê,IRN,NA,NA,3,2,7,6,7,1,8,4,4,1,6,2
2009-10-26Ê,IRQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,17,8,0,7
1996-06-20Ê,IRL,NA,NA,12,4,1,6,23,7,4,2,4,2,2,1
1995-11-05Ê,ISR,NA,3,1,1,1,1,0,0,1,9,3,0,2,10
1994-07-14Ê,ITA,4,4,7,15,9,23,25,23,16,20,5,40,8,5
1995-04-06Ê,JAM,NA,1,3,1,2,3,3,4,3,3,0,1,5,4
1993-12-29Ê,JPN,10,14,15,12,16,53,18,23,103,749,66,71,59,39
1994-02-10Ê,JOR,3,5,1,3,1,3,1,2,1,5,1,4,1,11
1994-12-05Ê,KAZ,2,1,2,4,1,5,0,0,3,2,1,0,0,0
1994-10-24Ê,KEN,7,7,3,9,163,14,12,12,11,29,18,19,25,22
1994-11-14Ê,KIR,1,0,1,0,3,2,6,5,6,6,4,3,1,1
2002-10-31Ê,KWT,NA,NA,NA,NA,3,0,9,3,5,7,8,7,7,5
1996-11-04Ê,KGZ,NA,NA,1,0,1,1,3,1,2,1,2,1,1,3
1996-12-19Ê,LAO,NA,NA,2,1,1,1,1,1,0,12,3,2,1,1
1996-03-13Ê,LVA,NA,NA,0,3,2,4,2,3,6,2,2,4,2,2
1995-03-15Ê,LBN,NA,1,1,1,1,2,0,1,1,1,1,0,1,1
1995-04-10Ê,LSO,NA,3,3,2,3,1,3,2,7,5,6,1,1,3
2001-02-06Ê,LBR,NA,NA,NA,NA,NA,3,2,2,3,4,8,2,0,3
2001-10-10Ê,LBY,NA,NA,NA,NA,NA,9,4,2,2,3,4,0,0,1
1998-02-17Ê,LIE,NA,NA,NA,0,0,1,0,0,1,0,0,1,2,2
1996-05-01Ê,LTU,NA,NA,0,2,1,1,1,0,3,1,4,4,0,2
1994-08-07Ê,LUX,1,1,1,0,1,4,1,1,4,2,0,1,5,4
1998-03-02Ê,MKD,NA,NA,NA,0,2,3,2,0,,0,1,1,0,1
1996-06-02Ê,MDG,NA,NA,4,6,4,0,3,3,12,17,7,6,5,20
1994-05-03Ê,MWI,3,3,4,1,4,6,2,4,3,12,3,7,5,7
1994-09-22Ê,MYS,8,10,9,3,7,10,68,25,25,34,20,26,16,17
1993-12-29Ê,MDV,1,1,0,0,0,2,2,2,1,1,5,3,4,9
1995-06-27Ê,MLI,NA,1,1,1,2,3,2,2,9,4,5,6,3,5
2001-03-29Ê,MLT,NA,NA,NA,NA,NA,0,0,0,2,0,2,3,5,3
1993-12-29Ê,MHL,1,0,1,2,1,1,1,2,2,1,3,2,0,1
1996-11-14Ê,MRT,NA,NA,2,2,1,3,2,1,8,7,1,6,7,8
1993-12-29Ê,MUS,3,2,1,1,2,1,2,1,2,3,3,1,1,2
1993-12-29Ê,MEX,4,4,6,5,17,18,15,18,25,21,8,32,85,22
1993-12-29Ê,MCO,1,2,2,2,2,3,1,1,1,14,2,2,3,2
1993-12-29Ê,MNG,2,2,2,3,1,0,2,5,2,7,3,15,2,4
2006-06-03Ê,MNE,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,0,0,0
1995-11-19Ê,MAR,NA,8,3,2,7,9,7,12,13,8,6,13,26,18
1995-11-23Ê,MOZ,NA,3,2,1,4,3,3,10,14,7,10,12,5,9
1995-02-23Ê,MMR,1,7,1,2,1,1,1,1,5,0,1,3,1,3
1997-08-14Ê,NAM,NA,NA,NA,3,6,2,9,8,12,10,21,16,12,20
1994-02-08Ê,NRU,1,0,0,1,0,0,0,0,1,1,2,0,2,0
1994-02-21Ê,NPL,1,2,1,5,3,4,3,5,5,6,7,8,6,8
1994-10-10Ê,NLD,7,14,11,17,13,30,25,14,23,17,8,5,9,8
1993-12-29Ê,NZL,4,5,9,4,4,12,9,13,14,12,12,6,9,7
1996-02-18Ê,NIC,NA,NA,1,0,3,3,1,1,2,2,0,0,2,1
1995-10-23Ê,NER,NA,0,1,1,3,1,1,1,5,4,9,10,1,6
1994-11-27Ê,NGA,6,3,1,9,16,10,9,2,6,18,0,13,3,31
1996-05-28Ê,NIU,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
1993-12-29Ê,NOR,8,7,7,13,15,23,15,19,21,33,29,18,19,16
1995-05-09Ê,OMN,NA,1,1,4,1,8,8,1,7,7,7,6,2,9
1994-10-24Ê,PAK,1,3,2,1,3,3,1,4,2,3,2,0,5,0
1999-04-06Ê,PLW,NA,NA,NA,NA,0,2,2,7,9,13,0,2,4,3
1995-04-17Ê,PAN,NA,4,1,1,1,2,2,1,3,5,1,2,6,7
1993-12-29Ê,PNG,2,3,3,2,1,0,9,5,0,9,0,0,3,3
1994-05-25Ê,PRY,1,1,1,0,1,3,0,9,3,2,2,0,3,7
1993-12-29Ê,PER,2,5,6,6,8,5,12,12,19,9,13,8,18,5
1994-01-06Ê,PHL,3,9,5,4,4,6,4,12,13,17,14,14,10,31
1996-04-17Ê,POL,NA,NA,10,10,10,6,6,5,12,10,7,4,7,4
1994-03-21Ê,PRT,2,0,5,8,25,6,1,14,10,8,4,7,3,5
1996-11-19Ê,QAT,1,0,0,4,0,2,2,3,2,3,4,2,4,8
1995-01-01Ê,KOR,9,9,9,6,12,16,18,25,26,68,45,65,33,60
1996-01-18Ê,MDA,NA,NA,1,1,1,1,0,0,1,1,2,0,0,1
1994-11-15Ê,ROM,0,4,4,4,4,7,0,5,2,2,0,5,3,4
1995-07-04Ê,RUS,NA,4,7,10,12,8,10,5,6,6,4,6,6,2
1996-08-27Ê,RWA,NA,NA,1,1,4,1,1,2,1,3,3,0,0,2
1993-12-29Ê,KNA,0,0,0,0,1,0,1,1,0,1,1,1,2,2
1993-12-29Ê,LCA,0,2,1,1,1,2,1,1,1,1,2,1,3,1
1996-09-01Ê,VCT,NA,NA,0,0,0,0,0,1,2,1,0,1,0,1
1994-05-10Ê,WSM,2,2,1,2,0,1,1,2,2,5,2,1,1,5
